"Province" "Wave 1" "Wave 2" "Wave 3" "Wave 4" "Wave 5"
"Qom" "0.59% [0.48%, 0.62%]" "0.55% [0.49%, 0.59%]" "0.47% [0.38%, 0.51%]" "0.48% [0.39%, 0.64%]" "0.52% [0.25%, 0.79%]"
"Kurdistan" "0.61% [0.61%, 0.63%]" "0.58% [0.51%, 0.66%]" "0.51% [0.42%, 0.54%]" "0.44% [0.39%, 0.54%]" "0.51% [0.30%, 0.80%]"
"Kerman" "0.59% [0.59%, 0.60%]" "0.56% [0.56%, 0.63%]" "0.46% [0.44%, 0.49%]" "0.47% [0.41%, 0.54%]" "0.45% [0.28%, 0.71%]"
"Kermanshah" "0.65% [0.65%, 0.65%]" "0.54% [0.54%, 0.59%]" "0.55% [0.49%, 0.59%]" "0.51% [0.45%, 0.60%]" "0.52% [0.31%, 0.84%]"
"Kohgiluyeh and Boyer-Ahmad" "0.34% [0.33%, 0.34%]" "0.32% [0.31%, 0.34%]" "0.30% [0.30%, 0.34%]" "0.34% [0.29%, 0.41%]" "0.32% [0.21%, 0.48%]"
"Golestan" "0.35% [0.31%, 0.38%]" "0.37% [0.33%, 0.47%]" "0.30% [0.30%, 0.31%]" "0.32% [0.29%, 0.37%]" "0.39% [0.23%, 0.58%]"
"Gilan" "0.72% [0.62%, 0.77%]" "0.64% [0.62%, 0.64%]" "0.59% [0.59%, 0.61%]" "0.59% [0.56%, 0.65%]" "0.64% [0.39%, 0.96%]"
"Lorestan" "0.58% [0.57%, 0.58%]" "0.53% [0.53%, 0.61%]" "0.49% [0.46%, 0.52%]" "0.48% [0.43%, 0.60%]" "0.46% [0.30%, 0.74%]"
"Mazandaran" "0.59% [0.58%, 0.64%]" "0.70% [0.67%, 0.80%]" "0.53% [0.52%, 0.53%]" "0.51% [0.48%, 0.53%]" "0.53% [0.35%, 0.81%]"
"Markazi" "0.62% [0.62%, 0.63%]" "0.66% [0.66%, 0.72%]" "0.58% [0.54%, 0.63%]" "0.57% [0.50%, 0.67%]" "0.50% [0.34%, 0.80%]"
"Hormozgan" "0.59% [0.58%, 0.59%]" "0.49% [0.47%, 0.58%]" "0.40% [0.39%, 0.40%]" "0.42% [0.36%, 0.56%]" "0.40% [0.25%, 0.63%]"
"Hamedan" "0.63% [0.63%, 0.64%]" "0.62% [0.61%, 0.72%]" "0.53% [0.51%, 0.58%]" "0.55% [0.48%, 0.65%]" "0.50% [0.33%, 0.81%]"
"Yazd" "0.33% [0.33%, 0.34%]" "0.35% [0.35%, 0.35%]" "0.39% [0.34%, 0.41%]" "0.38% [0.33%, 0.46%]" "0.30% [0.22%, 0.44%]"
"East Azerbaijan" "0.62% [0.61%, 0.63%]" "0.59% [0.58%, 0.62%]" "0.54% [0.50%, 0.59%]" "0.51% [0.44%, 0.62%]" "0.49% [0.31%, 0.80%]"
