"Province" "Wave 1" "Wave 2" "Wave 3" "Wave 4" "Wave 5"
"Alborz" "5.32% [5.44%, 5.16%]" "10.50% [10.27%, 10.48%]" "27.44% [25.99%, 29.10%]" "45.49% [38.88%, 51.17%]" "64.09% [51.07%, 81.97%]"
"Kerman" "2.10% [2.17%, 2.15%]" "8.11% [7.99%, 9.06%]" "23.45% [22.19%, 24.80%]" "32.84% [29.26%, 34.56%]" "50.58% [40.64%, 63.22%]"
"Kermanshah" "4.08% [4.39%, 4.31%]" "9.97% [9.86%, 9.13%]" "30.16% [28.50%, 32.97%]" "41.38% [37.50%, 46.08%]" "66.67% [54.07%, 86.87%]"
"Khuzestan" "11.17% [10.51%, 13.65%]" "26.08% [23.70%, 29.49%]" "40.38% [36.19%, 42.13%]" "68.54% [58.79%, 76.98%]" "98.48% [79.82%, 120.59%]"
"Kohgiluyeh and Boyer-Ahmad" "4.24% [3.88%, 3.79%]" "9.37% [8.61%, 8.72%]" "27.38% [24.45%, 27.12%]" "42.16% [36.62%, 46.16%]" "59.41% [48.25%, 74.93%]"
"Kurdistan" "7.66% [6.86%, 7.83%]" "17.13% [16.40%, 18.52%]" "45.93% [43.35%, 55.61%]" "59.55% [54.04%, 69.37%]" "80.05% [66.82%, 103.86%]"
"Lorestan" "5.37% [5.64%, 5.41%]" "11.81% [12.20%, 12.09%]" "28.87% [27.28%, 30.13%]" "40.94% [36.45%, 43.29%]" "56.51% [47.10%, 68.36%]"
"Markazi" "5.86% [5.45%, 5.22%]" "11.31% [10.48%, 10.60%]" "33.26% [31.29%, 33.89%]" "47.89% [42.32%, 51.57%]" "64.71% [53.01%, 75.59%]"
"Mazandaran" "11.19% [10.15%, 11.53%]" "18.16% [16.62%, 18.97%]" "31.36% [29.63%, 32.70%]" "40.39% [37.42%, 42.43%]" "58.36% [48.01%, 69.78%]"
"North Khorasan" "6.46% [6.06%, 5.73%]" "14.52% [12.58%, 13.86%]" "36.11% [32.34%, 40.32%]" "48.61% [41.48%, 53.53%]" "77.73% [61.94%, 100.78%]"
"Qazvin" "12.92% [12.21%, 13.66%]" "19.79% [18.21%, 20.70%]" "46.85% [41.92%, 50.43%]" "64.95% [55.77%, 72.23%]" "85.97% [69.52%, 106.44%]"
"Qom" "14.87% [14.23%, 18.22%]" "20.10% [18.55%, 24.31%]" "40.20% [36.16%, 47.18%]" "51.89% [45.12%, 61.98%]" "84.74% [66.12%, 116.36%]"
"Razavi Khorasan" "6.77% [6.27%, 6.66%]" "19.33% [17.53%, 21.33%]" "43.41% [38.66%, 45.49%]" "57.06% [49.79%, 64.07%]" "90.19% [71.76%, 113.32%]"
"Semnan" "4.12% [4.59%, 4.19%]" "8.27% [9.25%, 8.31%]" "30.87% [29.84%, 31.08%]" "42.82% [39.75%, 45.06%]" "57.26% [49.85%, 65.92%]"
"Sistan and Baluchistan" "1.24% [1.23%, 1.11%]" "5.02% [5.51%, 5.35%]" "14.02% [14.85%, 14.14%]" "26.46% [22.98%, 32.57%]" "46.60% [35.38%, 67.60%]"
"South Khorasan" "3.11% [2.94%, 3.49%]" "5.72% [5.26%, 6.53%]" "21.59% [19.20%, 23.92%]" "30.87% [27.58%, 33.24%]" "41.27% [34.65%, 48.50%]"
"Tehran" "7.69% [8.31%, 8.07%]" "12.67% [14.37%, 13.17%]" "32.42% [33.46%, 34.66%]" "51.17% [46.13%, 54.27%]" "77.06% [65.08%, 93.99%]"
"West Azerbaijan" "4.06% [3.85%, 4.34%]" "10.23% [8.87%, 10.50%]" "37.85% [34.37%, 42.99%]" "52.94% [45.84%, 60.46%]" "75.66% [60.25%, 98.53%]"
"Yazd" "11.26% [12.05%, 11.49%]" "17.10% [18.44%, 17.86%]" "53.88% [51.44%, 59.97%]" "64.11% [59.99%, 72.87%]" "80.50% [71.43%, 93.68%]"
"Zanjan" "6.85% [7.59%, 7.15%]" "14.10% [14.18%, 14.59%]" "38.23% [35.99%, 41.37%]" "56.79% [51.31%, 63.59%]" "73.11% [60.85%, 87.84%]"
